CTYNAME,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015
Warren County,5795,5705,5568,5556,5515,5460
Washington County,21110,21013,20850,20640,20608,20816
Wayne County,30092,30337,30356,30053,29950,29534
Webster County,2777,2799,2794,2708,2650,2648
Wheeler County,7756,8055,7905,7933,7984,7903
White County,27208,27383,27559,27754,27942,28319
Whitfield County,102776,103106,103236,103126,103596,104216
Wilcox County,9275,9169,9029,8966,8838,8857
Wilkes County,10484,10192,10046,9925,9923,9867
Wilkinson County,9519,9460,9548,9423,9344,9155
Worth County,21725,21611,21464,21052,20952,20699
Hawaii,1363980,1378227,1392641,1408765,1420257,1431603
Hawaii County,185326,186961,188780,191224,194016,196428
Honolulu County,956377,966581,976711,986802,992082,998714
Kalawao County,90,90,89,89,89,89
Kauai County,67209,67794,68551,69703,70672,71735
Maui County,154978,156801,158510,160947,163398,164637
Idaho,1570986,1584134,1596097,1612785,1634806,1654930
Ada County,393464,401088,408921,416439,426847,434211
Adams County,3953,3979,3905,3825,3848,3843
Bannock County,83026,83584,83792,83430,83471,83744
Bear Lake County,5977,5963,5900,5955,5955,5922
Benewah County,9285,9165,9121,9024,9080,9052
Bingham County,45767,45912,45523,45404,45204,44990
Blaine County,21301,21092,21123,21296,21443,21592
Boise County,7008,7003,6801,6739,6826,7058
Bonner County,40917,40824,40438,40675,41533,41859
Bonneville County,104696,105831,106922,107573,108526,110089
Boundary County,11012,10821,10830,10860,10977,11318
Butte County,2909,2805,2726,2623,2612,2501
Camas County,1111,1103,1077,1043,1038,1066
Canyon County,189400,191439,193863,198875,202951,207478
Caribou County,6976,6853,6779,6822,6815,6770
Cassia County,23088,23164,23289,23348,23539,23506
Clark County,979,951,873,863,874,880
Clearwater County,8632,8626,8583,8585,8509,8496
Custer County,4360,4356,4345,4238,4145,4087
Elmore County,27118,26217,26272,26248,26262,25876
Franklin County,12793,12822,12827,12852,12994,13074
Fremont County,13241,13132,12991,12913,12870,12819
Gem County,16676,16716,16665,16646,16774,16852
